,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
639,way,334469303,0x130e5ace96feeb71:0x646aa72d41b83541,"Planning Authority, St Francis Ravelin, 1230, Floriana",0.00019670078559685022,1.0,False,0.33,0.86,False,0.7759994388108892
640,node,5484406423,0x130e5ad201adb66f:0xa1689303aefd06c0,"Bistro 516, Valletta Waterfront",0.0009283970809949521,1.0,False,1.0,0.48,True,0.8739973206269201
641,node,6315718774,0x130e5ad276bd70a5:0xa5103b1b4941e736,"Ambasciata d'Italia, Triq Vilhena 5, FRN 1040, Valletta",2.7987318558715293e-05,0.74,False,0.33,0.7,False,0.6899999272186663
642,way,139518745,0x130e5ad2d36fb8b3:0x34ef46b196f7240f,"Central Bank of Malta, Castille Place, VLT 1060, Valletta",0.00016345877671100653,1.0,False,0.75,0.96,False,0.8229995350430155
643,way,478817380,0x130e5ad2f81c3391:0xa375aa642f9177a7,"Sir Paul Boffa, Sqaq Harper, FRN 1941, Il-Furjana",7.398949680685629e-05,0.76,True,0.84,0.67,False,0.845499794047189
644,way,31233185,0x130e5ad34b18a8c7:0x88672bb55bc3cf43,"Malta Stock Exchange, Castille Place Garisson Chapel",0.000251335301116749,1.0,False,0.36,0.63,False,0.7674992806497017
645,node,4365936496,0x130e5ad5d293d2d9:0xb37199d104343c23,"Grand Harbour Vista, Triq is-Sirena 42, ISL-1461",8.055221908864272e-05,1.0,False,1.0,0.8,False,0.839999775048797
646,way,308763341,0x130e5ad93a51d857:0x706e13a70c342633,Raħal Ġdid,0.014599623406889344,0.25,False,0.0,0.27,False,0.48845774386177676
647,way,367778319,0x130e5add02764fe3:0x86a4ca7d805b563c,"Sant Antnin Church, Ghajn Dwieli, Pjazza Sant'Antnin, PLA1962, Paola",0.00030637815297302655,0.6,False,1.0,0.47,False,0.7034991213064233
648,way,138344467,0x130e5add1609e5b3:0x50a01e4b95c8c391,"Mariam Al-Batool Mosque, Triq Kordin",1.941892055564122e-05,0.29,False,0.63,0.43,False,0.571499952023279
649,node,3336116494,0x130e5ae139b5f00d:0xfd92857a067460ca,"MEATS & EATS Gourmet Butcher, Dingli Street 75, Sliema",0.04863057265260573,0.55,False,0.0,0.55,False,0.5923592278359426
